"No.","Time","Source","Destination","Protocol","Length","Info"
"23707","313.255500424","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23709","313.255582562","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23711","313.257835532","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23713","313.260188227","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23714","313.261334062","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23716","313.262461389","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23717","313.263774609","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23719","313.264875407","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23720","313.267128225","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23722","313.268079270","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23723","313.269487904","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23725","313.269560668","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23726","313.271771053","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23728","313.272930553","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23729","313.275222118","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23731","313.275264502","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23732","313.276405065","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23734","313.277339394","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23735","313.278710430","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23737","313.281003122","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23738","313.282127529","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data, Application Data, Application Data"
"23740","313.282212431","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23741","313.283298530","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23743","313.285363994","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23744","313.286743501","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23746","313.287887901","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23749","313.288148463","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23751","313.290214055","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23752","313.291358259","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23754","313.292294907","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23755","313.294769310","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23757","313.294871008","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23758","313.295945050","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23760","313.297114891","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23761","313.308187619","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23763","313.309357255","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23764","313.310297625","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23766","313.311610528","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data, Application Data"
"23768","313.312787093","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23769","313.313733589","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23770","313.315025929","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23772","313.318437675","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23774","313.318600395","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23777","313.319593825","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23778","313.321851641","2404:6800:4007:825::200a","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data, Application Data"
"23780","313.323001254","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
"23782","313.325266903","2404:6800:4007:824::200e","2401:4900:4a64:d98f:6928:c4c0:d81b:3a08","TLSv1.3","1294","Application Data [TCP segment of a reassembled PDU]"
