"No.","Time","Source","Destination","Protocol","Length","Info"
"1221","13.270351985","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1223","13.270610214","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1237","13.300795407","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1251","13.515653046","64.68.120.47","192.168.43.63","TLSv1.2","396","[TCP Spurious Retransmission] , Server Key Exchange, Server Hello Done"
"1257","13.551769273","64.68.120.47","192.168.43.63","TLSv1.2","60","Change Cipher Spec"
"1259","13.551887718","64.68.120.47","192.168.43.63","TLSv1.2","99","Encrypted Handshake Message"
"1261","13.573324107","64.68.120.47","192.168.43.63","TLSv1.2","498","Application Data"
"1263","13.575045924","192.168.43.63","64.68.120.47","TLSv1.2","868","Application Data"
"1273","14.047748864","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1281","14.201022087","192.168.43.63","64.68.120.47","TLSv1.2","530","Application Data"
"1299","14.384454600","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1309","14.879669996","104.115.92.112","192.168.43.63","TLSv1.2","2962","Application Data [TCP segment of a reassembled PDU]"
"1317","14.880442722","104.115.92.112","192.168.43.63","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
